LookupTime,FSSTime,MultiplicationTime,RotationTime,AdditionTime,o
11.321417ms,118.167µs,484µs,9.504749ms,109.792µs,[1]
8.73575ms,122.25µs,449.541µs,7.225251ms,101.835µs,[1]
8.882916ms,125.417µs,470.125µs,7.287669ms,103.167µs,[1]
8.54375ms,116.625µs,464.875µs,7.158543ms,101.916µs,[1]
8.950792ms,116.416µs,429.209µs,7.356334ms,105.584µs,[1]
9.195167ms,115.25µs,483.542µs,7.535ms,105.834µs,[1]
10.015791ms,119.167µs,500.208µs,8.492001ms,103.417µs,[1]
8.46925ms,115.25µs,427.792µs,7.093582ms,101.294µs,[1]
8.497042ms,114.25µs,428.958µs,7.12429ms,102.208µs,[1]
8.483458ms,115.958µs,435.208µs,7.076582ms,102.752µs,[1]
8.514ms,115.084µs,442.833µs,7.097418ms,100.708µs,[1]
8.48775ms,114.375µs,428.208µs,7.097081ms,103.25µs,[1]
9.978666ms,115.792µs,432µs,7.16396ms,102.625µs,[1]
8.370334ms,114µs,431.083µs,7.021459ms,101.165µs,[1]
8.385125ms,115.583µs,428.959µs,7.040957ms,103.542µs,[1]
8.426541ms,114.792µs,446.5µs,7.048291ms,102.083µs,[1]
8.366833ms,114.375µs,426.916µs,7.028583ms,101.498µs,[1]
8.447667ms,116.125µs,428.292µs,7.085834ms,101.625µs,[1]
8.690708ms,114.417µs,428µs,7.133291ms,103.416µs,[1]
8.502542ms,115.083µs,451.834µs,7.134917ms,103.875µs,[1]
8.436792ms,120.417µs,450.75µs,7.047874ms,101.208µs,[1]
8.44ms,116.167µs,429.708µs,7.064125ms,103.458µs,[1]
8.61875ms,117.208µs,433.208µs,7.225832ms,104.418µs,[1]
8.457292ms,114.667µs,434.125µs,7.089583ms,102.042µs,[1]
8.352083ms,114.667µs,427.375µs,7.023666ms,102.043µs,[1]
8.604666ms,114.667µs,447.25µs,7.210876ms,107.583µs,[1]
8.511917ms,114.25µs,438.125µs,7.135374ms,101.04µs,[1]
8.56525ms,115µs,427.875µs,7.148834ms,115µs,[1]
8.481958ms,114.208µs,430.542µs,7.09575ms,101.625µs,[1]
8.463792ms,114.375µs,436.084µs,7.119502ms,106.792µs,[1]
